Order_Priority,Customer_ID,Ship_Mode,Order_Date,Order_ID
Medium,92,Regular Air,4/2/2011,87179
High,92,Regular Air,11/22/2013,87185
High,93,Express Air,22102,120.26
High,93,Regular Air,12/18/2012,87183
High,93,Express Air,22102,30.01
High,93,Delivery Truck,12/18/2012,87183
Not Specified,93,Regular Air,9/1/2013,87184
Not Specified,94,Delivery Truck,11/3/2010,44231
Not Specified,94,Regular Air,11/3/2010,44231
Critical,94,Regular Air,3/13/2011,33632
Low,94,Express Air,4/12/2011,56001
Not Specified,94,Express Air,11/8/2011,52737
Critical,94,Regular Air,10/8/2012,27174
Not Specified,94,Express Air,1/22/2013,28582
Not Specified,94,Regular Air,1/22/2013,28582
Not Specified,94,Regular Air,3/19/2013,1856
Not Specified,94,Regular Air,3/19/2013,1856
Not Specified,94,Regular Air,3/19/2013,1856
Medium,94,Regular Air,8/21/2013,30883
Not Specified,94,Regular Air,11/3/2013,44231
Not Specified,94,Regular Air,12/9/2013,37063
Critical,95,Regular Air,10/8/2012,87309
Not Specified,95,Regular Air,3/19/2013,87312
Not Specified,95,Regular Air,3/19/2013,87312
Not Specified,95,Regular Air,3/19/2013,87312
Medium,96,Regular Air,8/21/2011,87307
Not Specified,96,Express Air,1/22/2013,87310
Not Specified,96,Regular Air,1/22/2013,87310
Critical,96,Regular Air,3/13/2013,87311
Not Specified,97,Delivery Truck,11/3/2010,87306
Not Specified,97,Regular Air,11/3/2010,87306
Not Specified,97,Express Air,11/8/2011,87308
Not Specified,97,Regular Air,11/3/2013,87314
Not Specified,97,Regular Air,12/9/2013,87315
Low,98,Express Air,4/12/2013,87313
Medium,99,Regular Air,2/23/2011,88206
High,100,Express Air,2/14/2013,88210
Medium,101,Regular Air,6/22/2010,88205
High,101,Delivery Truck,4/24/2012,88209
Medium,102,Delivery Truck,4/6/2010,42599
Medium,102,Regular Air,6/22/2010,3397
Medium,102,Regular Air,6/22/2010,3397
Medium,102,Regular Air,2/23/2011,42528
Medium,102,Regular Air,2/23/2011,42528
Medium,102,Express Air,2/23/2011,42528
Medium,102,Regular Air,2/23/2011,42528
Medium,102,Regular Air,2/23/2011,42528
Medium,102,Regular Air,3/9/2011,48263
Medium,102,Regular Air,2129,135.91
Not Specified,102,Regular Air,6/29/2011,11779
Not Specified,102,Regular Air,6/29/2011,11779
High,102,Delivery Truck,4/24/2012,16710
High,102,Express Air,2/14/2013,54053
High,102,Regular Air,2/14/2013,54053
Medium,103,Regular Air,2/23/2011,88206
Medium,104,Regular Air,2/23/2011,88206
Medium,105,Express Air,2/23/2013,88211
Medium,106,Regular Air,3/9/2011,88207
Medium,107,Delivery Truck,4/6/2010,88204
Not Specified,108,Regular Air,6/29/2011,88208
Medium,109,Regular Air,6/22/2010,88205
Medium,110,Regular Air,2/23/2011,88206
High,111,Regular Air,2/14/2013,88210
Not Specified,112,Regular Air,6/29/2011,88208
Medium,113,Regular Air,2895,32.62
High,114,Regular Air,1/3/2010,89583
Medium,114,Regular Air,4/4/2010,89584
Medium,114,Express Air,4/4/2010,89584
High,114,Regular Air,12/26/2013,89591
Low,115,Regular Air,4/9/2010,89585
Medium,115,Regular Air,1/23/2011,89586
Low,115,Delivery Truck,4/2/2011,89587
Low,115,Regular Air,4/24/2013,89589
High,115,Regular Air,8/16/2013,89590
Low,116,Regular Air,4/9/2013,89588
High,117,Regular Air,1/3/2010,7909
Medium,117,Regular Air,4/4/2010,13959
Medium,117,Express Air,4/4/2010,13959
Low,117,Regular Air,4/9/2010,58914
Low,117,Delivery Truck,4/2/2011,19812
Medium,117,Regular Air,1/23/2013,44295
Low,117,Regular Air,4/9/2013,58914
Low,117,Regular Air,4/24/2013,23172
High,117,Regular Air,8/16/2013,36038
High,117,Regular Air,12/26/2013,16772
Not Specified,119,Regular Air,12/17/2011,86521
Low,119,Regular Air,12/30/2012,86524
Low,119,Regular Air,12/30/2012,86524
Critical,119,Express Air,2/10/2013,86525
Low,119,Regular Air,4/18/2013,86526
High,120,Regular Air,7/12/2010,86520
High,120,Express Air,7/12/2010,86520
Medium,120,Express Air,2/3/2012,86522
Medium,120,Delivery Truck,8/11/2012,86523
Medium,120,Express Air,8/11/2012,86523
Critical,122,Regular Air,4/11/2012,90670
Critical,122,Regular Air,4/11/2012,90670
Medium,122,Regular Air,4/30/2012,90671
High,122,Regular Air,8/30/2013,90672
High,122,Delivery Truck,8/30/2013,90672
Critical,123,Regular Air,10/9/2010,90669
Critical,123,Express Air,10/9/2013,90673
Not Specified,125,Regular Air,10/6/2012,88518
Critical,125,Regular Air,8/29/2013,88520
Medium,126,Regular Air,9/10/2011,88517
Critical,126,Regular Air,8/29/2013,88520
Medium,127,Regular Air,5/7/2013,88519
Medium,127,Regular Air,5/7/2013,88519
Medium,127,Regular Air,9/10/2013,88521
Not Specified,129,Regular Air,7/27/2010,86693
Not Specified,129,Regular Air,11/25/2010,86694
High,129,Regular Air,11/29/2013,86698
Critical,130,Regular Air,6/3/2012,86695
Medium,130,Regular Air,8/25/2012,86696
Not Specified,130,Delivery Truck,1/11/2013,86697
Critical,132,Express Air,9/20/2011,90995
Medium,132,Regular Air,5/30/2013,90998
Not Specified,132,Regular Air,11/30/2013,90999
Not Specified,132,Regular Air,11/30/2013,90999
Low,133,Delivery Truck,3/14/2011,90994
Low,133,Regular Air,3/5/2012,90996
High,133,Express Air,5/8/2013,90997
Not Specified,134,Delivery Truck,11/30/2013,90999
Critical,136,Regular Air,11/16/2010,88534
Critical,136,Regular Air,11/16/2010,88534
High,136,Regular Air,5/2/2013,88538
Critical,136,Regular Air,11/16/2013,88539
Not Specified,137,Regular Air,10/26/2012,88535
Low,138,Regular Air,2/9/2013,88537
High,139,Regular Air,12/31/2012,88536
Critical,141,Regular Air,1/14/2011,91091
Not Specified,141,Regular Air,1/24/2012,91093
Critical,142,Regular Air,6/2/2010,91087
Not Specified,143,Regular Air,1/24/2012,91093
Critical,144,Regular Air,6/2/2010,91087
Medium,145,Regular Air,15122,14.65
Low,145,Express Air,9/16/2010,91089
High,145,Regular Air,3/15/2012,91094
Critical,145,Regular Air,15122,105.88
Critical,145,Regular Air,9/2/2013,91098
Not Specified,146,Regular Air,9/12/2010,91088
Medium,146,Delivery Truck,10/23/2010,91090
Low,146,Regular Air,5/25/2013,91096
Low,146,Regular Air,5/25/2013,91096
Not Specified,146,Regular Air,9/12/2013,91099
Medium,146,Regular Air,10/23/2013,91100
Critical,147,Regular Air,6/2/2013,91097
Low,148,Regular Air,7/22/2012,91095
Not Specified,149,Regular Air,9/24/2011,91092
Critical,151,Regular Air,1/22/2010,89521
High,151,Regular Air,4/20/2010,89523
Low,151,Regular Air,5/14/2012,89528
Medium,151,Regular Air,10/4/2012,89530
Medium,151,Express Air,10/4/2012,89530
Critical,152,Regular Air,1/15/2010,89520
Low,152,Regular Air,4/19/2010,89522
High,152,Regular Air,9/29/2010,89524
Low,152,Regular Air,12/18/2010,89525
Medium,152,Regular Air,2/1/2012,89526
Low,152,Express Air,3/21/2013,89532
Low,152,Express Air,3/21/2013,89532
Medium,153,Regular Air,4/23/2012,89527
Critical,153,Regular Air,37086,120.96
Critical,153,Express Air,7/17/2013,89533
High,153,Regular Air,10/30/2013,89535
High,153,Express Air,10/30/2013,89535
High,153,Regular Air,10/30/2013,89535
Not Specified,154,Regular Air,9/4/2012,89529
High,154,Regular Air,8/28/2013,89534
Critical,156,Regular Air,5/14/2010,87671
High,156,Regular Air,7/25/2010,87672
High,156,Regular Air,7/14/2011,87673
High,156,Regular Air,7/14/2011,87673
Low,156,Regular Air,2/2/2013,87675
Low,157,Regular Air,1/21/2013,87674
Low,157,Regular Air,2/2/2013,87675
Low,159,Express Air,6/4/2011,89372
Medium,159,Regular Air,11/25/2011,89373
Medium,159,Regular Air,9/8/2013,89374
Medium,159,Regular Air,9/8/2013,89374
Medium,161,Regular Air,5/26/2013,89967
Medium,161,Regular Air,5/26/2013,89967
Medium,161,Regular Air,5/26/2013,89967
Low,162,Regular Air,1/16/2013,89965
Low,162,Express Air,5/29/2013,89968
Low,162,Regular Air,5/29/2013,89968
Critical,162,Delivery Truck,11/21/2013,89969
Critical,163,Regular Air,11/4/2011,89963
Low,163,Regular Air,5/29/2013,89968
Medium,164,Delivery Truck,7/2/2010,89961
Medium,164,Regular Air,7/2/2010,89961
High,164,Regular Air,10/2/2011,89962
Critical,164,Regular Air,6/29/2012,89964
Not Specified,164,Delivery Truck,3/8/2013,89966
Low,166,Delivery Truck,1/11/2010,89426
Medium,166,Regular Air,9/26/2011,89428
Medium,166,Regular Air,2/13/2012,89429
Medium,166,Regular Air,2/13/2012,89429
High,167,Regular Air,6/23/2011,89427
High,167,Regular Air,6/23/2011,89427
Not Specified,167,Regular Air,12/17/2012,89430
Low,169,Regular Air,1/3/2010,87463
Low,169,Regular Air,1/3/2010,87463
Low,169,Regular Air,70802,30.94
Critical,169,Delivery Truck,1/12/2013,87467
Critical,169,Regular Air,1/12/2013,87467
Medium,169,Regular Air,8/8/2013,87468
High,170,Regular Air,3/16/2011,87465
Critical,171,Regular Air,4/13/2010,87464
Critical,172,Regular Air,7/14/2011,87466
Critical,172,Regular Air,1/12/2013,87467
Critical,174,Express Air,7/17/2011,90650
High,174,Regular Air,8/11/2011,90651
High,175,Delivery Truck,4/20/2011,90649
High,175,Regular Air,4/20/2013,90652
Critical,177,Regular Air,3/9/2011,90827
Critical,177,Express Air,3/9/2011,90827
Critical,177,Regular Air,3/9/2011,90827
Medium,177,Regular Air,5/20/2012,90828
High,177,Regular Air,2/1/2013,90829
High,177,Express Air,2/1/2013,90829
Medium,178,Regular Air,2/26/2011,90826
Medium,178,Express Air,2/26/2011,90826
Medium,178,Regular Air,6/6/2013,90830
Critical,178,Express Air,10/4/2013,90831
Critical,178,Regular Air,10/4/2013,90831
Critical,178,Delivery Truck,10/4/2013,90831
Medium,180,Express Air,12/24/2012,90783
High,180,Delivery Truck,11/4/2013,90784
Medium,180,Delivery Truck,12/12/2013,90785
Critical,181,Regular Air,2/21/2010,38087
High,181,Regular Air,11/22/2010,3585
Low,181,Regular Air,3/19/2011,12643
High,181,Delivery Truck,11/3/2011,23271
Critical,181,Regular Air,1/16/2012,25669
Critical,181,Regular Air,3/21/2012,42213
High,181,Regular Air,11/22/2013,3585
Not Specified,181,Delivery Truck,12/23/2013,7751
Critical,182,Regular Air,3/21/2012,88365
Not Specified,183,Delivery Truck,12/23/2013,88366
Critical,184,Regular Air,2/21/2010,88360
Critical,185,Regular Air,1/16/2012,88364
High,186,Delivery Truck,11/3/2011,88363
Low,187,Regular Air,3/19/2011,88362
High,188,Regular Air,11/22/2010,88361
High,188,Regular Air,11/22/2010,88361
High,190,Regular Air,8/12/2010,89092
High,191,Regular Air,8/12/2010,89092
Not Specified,191,Regular Air,10/9/2010,89093
Not Specified,191,Regular Air,10/9/2010,89093
Not Specified,191,Regular Air,10/9/2010,89093
High,191,Regular Air,3/3/2013,89094
High,191,Regular Air,3/3/2013,89094
Not Specified,193,Delivery Truck,1/3/2010,90430
Medium,193,Regular Air,9/30/2010,90432
Not Specified,194,Regular Air,1/10/2010,90431
Medium,194,Regular Air,9/30/2010,90432
High,194,Delivery Truck,8/20/2013,90435
Critical,194,Regular Air,12/9/2013,90436
Critical,194,Delivery Truck,12/9/2013,90436
Critical,194,Express Air,12/9/2013,90436
Low,195,Regular Air,6/4/2011,90433
Not Specified,195,Regular Air,3/9/2013,90434
High,196,Express Air,1/5/2011,88922
High,196,Regular Air,1/5/2011,88922
Medium,196,Regular Air,12/29/2013,88927
Critical,197,Regular Air,10/2/2010,88921
High,197,Regular Air,4/5/2013,88923
Medium,197,Regular Air,5/23/2013,88924
Medium,197,Regular Air,7/22/2013,88925
Critical,197,Regular Air,9/5/2013,88926
Critical,198,Regular Air,10/2/2010,51072
High,198,Regular Air,1/5/2011,5504
Medium,198,Regular Air,7/22/2011,26373
High,198,Express Air,1/5/2013,5504
High,198,Regular Air,4/5/2013,28868
Medium,198,Regular Air,5/23/2013,43523
Critical,198,Regular Air,9/5/2013,30660
Medium,198,Regular Air,12/29/2013,13507
Medium,200,Regular Air,1/27/2012,91141
Critical,200,Delivery Truck,3/18/2013,91142
Critical,200,Regular Air,9/2/2013,91143
Critical,200,Regular Air,9/2/2013,91143
Not Specified,202,Regular Air,4/27/2010,88971
High,202,Regular Air,74006,85.79
Medium,202,Regular Air,2/10/2011,88973
Not Specified,204,Regular Air,5/16/2011,89236
Not Specified,204,Regular Air,5/16/2011,89236
Medium,204,Regular Air,4/10/2012,89237
Medium,204,Regular Air,4/10/2012,89237
Medium,204,Express Air,4/10/2012,89237
Critical,204,Regular Air,5/24/2012,89238
Critical,205,Regular Air,8/30/2012,89239
Low,207,Regular Air,1/21/2012,89282
Not Specified,208,Regular Air,3/1/2013,89283
Low,210,Regular Air,7/17/2010,85965
Medium,210,Express Air,12/2/2010,85966
Medium,210,Regular Air,12/2/2010,85966
Medium,210,Regular Air,12/2/2010,85966
Low,210,Delivery Truck,7/16/2011,85968
Medium,210,Regular Air,12/30/2011,85971
Not Specified,210,Regular Air,Troy,12
Medium,211,Regular Air,7/6/2010,85964
Medium,211,Regular Air,7/6/2010,85964
Medium,211,Regular Air,12/2/2010,85966
Critical,211,Regular Air,2/21/2013,85974
Medium,211,Regular Air,7/6/2013,85975
Critical,211,Delivery Truck,7/18/2013,85976
Medium,211,Express Air,11/12/2013,85978
Critical,212,Regular Air,2/21/2011,85967
Not Specified,212,Regular Air,7/27/2011,85969
Not Specified,212,Regular Air,9/20/2011,85970
Not Specified,212,Delivery Truck,2/12/2012,85972
Not Specified,212,Regular Air,9/20/2013,85977
High,214,Regular Air,7/21/2011,88050
High,214,Regular Air,7/21/2011,88050
High,214,Regular Air,7/21/2011,88050
Not Specified,214,Regular Air,11/27/2012,88055
Not Specified,214,Regular Air,11/27/2012,88055
Not Specified,215,Regular Air,2/19/2013,88056
Not Specified,215,Regular Air,6/2/2013,88057
Critical,215,Regular Air,12/21/2013,88059
High,216,Express Air,6/6/2011,88049
Low,216,Regular Air,2/22/2012,88052
Low,216,Regular Air,2/22/2012,88052
Low,216,Regular Air,2/22/2012,88052
Low,217,Regular Air,9/13/2011,88051
High,217,Express Air,6/16/2012,88053
High,217,Regular Air,6/16/2012,88053
Critical,217,Regular Air,9/15/2012,88054
Critical,217,Regular Air,9/15/2012,88054
Critical,217,Regular Air,8/28/2013,88058
Medium,218,Delivery Truck,12/9/2010,88048
High,220,Regular Air,5/6/2012,87230
High,220,Regular Air,8/31/2012,87232
Not Specified,221,Regular Air,6/27/2011,87229
Not Specified,221,Regular Air,7/8/2012,87231
High,221,Regular Air,8/31/2012,87232
High,221,Express Air,8/31/2012,87232
High,221,Regular Air,8/31/2012,87232
Not Specified,221,Delivery Truck,6/27/2013,87233
Critical,223,Delivery Truck,1/11/2012,88530
Critical,223,Regular Air,1/11/2012,88530
Critical,224,Regular Air,2/18/2012,88532
High,225,Regular Air,2766,105.09
Medium,226,Express Air,5/12/2013,88533
High,227,Regular Air,1/31/2012,88531
Medium,228,Delivery Truck,4/2/2010,88527
Medium,228,Regular Air,1/14/2011,88528
Low,228,Regular Air,9/22/2011,88529
Critical,230,Delivery Truck,1/5/2012,91309
Critical,230,Express Air,1/5/2012,91309
High,232,Regular Air,8/4/2011,90240
High,232,Regular Air,8/4/2011,90240
High,232,Regular Air,8/4/2011,90240
Not Specified,232,Regular Air,8/19/2012,90241
Medium,233,Regular Air,2/20/2010,90237
Medium,233,Regular Air,2/20/2010,90237
Critical,234,Delivery Truck,2/5/2010,90236
High,234,Regular Air,3/27/2010,90238
High,234,Regular Air,3/27/2010,90238
Low,234,Express Air,4/28/2010,90239
High,234,Regular Air,3/27/2013,90242
Low,234,Regular Air,8/6/2013,90243
Not Specified,236,Delivery Truck,2/22/2010,86621
High,236,Regular Air,9/3/2012,86624
High,236,Regular Air,2/18/2013,86625
Not Specified,236,Regular Air,7/6/2013,86627
Low,236,Regular Air,9/22/2013,86628
Low,237,Express Air,3/1/2012,86622
Low,237,Express Air,3/1/2012,86622
High,238,Regular Air,8/25/2012,86623
High,238,Regular Air,8/25/2012,86623
Not Specified,238,Regular Air,5/5/2013,86626
Medium,240,Express Air,4/20/2010,90479
Medium,240,Regular Air,1/31/2011,90481
Critical,240,Regular Air,1/31/2011,90481
Medium,240,Regular Air,1/18/2013,90484
Not Specified,240,Regular Air,9/19/2013,90486
Medium,241,Delivery Truck,4/20/2010,90479
Low,241,Regular Air,5/26/2010,90480
Low,241,Regular Air,5/26/2010,90480
Medium,241,Regular Air,3/3/2012,90483
High,241,Regular Air,4/9/2013,90485
High,242,Regular Air,5/1/2011,90482
Medium,242,Regular Air,10/25/2013,90487
Low,244,Regular Air,10/18/2013,86720
Critical,245,Regular Air,Deer Park,10
High,245,Delivery Truck,9/5/2013,86719
Critical,245,Regular Air,12/24/2013,86721
Critical,245,Delivery Truck,12/24/2013,86721
Medium,247,Delivery Truck,8/23/2010,89139
Medium,247,Regular Air,8/23/2010,89139
Medium,247,Regular Air,9/21/2010,89140
High,247,Regular Air,1/13/2013,89145
Medium,248,Regular Air,4/22/2011,89141
High,248,Regular Air,5/19/2012,89142
Medium,248,Express Air,6/22/2012,89143
