Office Supplies,Avery 485,12.53,17
Technology,Hewlett Packard 6S Scientific Calculator,12.99,18
Office Supplies,Space Solutions Commercial Steel Shelving,64.65,13
Furniture,Anderson Hickey Conga Table Tops & Accessories,15.23,1
Office Supplies,Xerox 197,30.98,1
Furniture,DAX Natural Wood-Tone Poster Frame,26.48,70
Office Supplies,Advantus Plastic Paper Clips,5,58
Technology,Hewlett Packard 6S Scientific Calculator,12.99,71
Office Supplies,Xerox 197,30.98,1
Office Supplies,"Dixon My First Ticonderoga Pencil, #2",5.85,9
Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,7.77,18
Office Supplies,Belkin F9M820V08 8 Outlet Surge,42.98,60
Office Supplies,"Fellowes Twister Kit, Gray/Clear, 3/pkg",8.04,36
Office Supplies,Space Solutions Commercial Steel Shelving,64.65,50
Furniture,Anderson Hickey Conga Table Tops & Accessories,15.23,5
Furniture,Office Star Flex Back Scooter Chair with White Frame,110.98,88
Office Supplies,Avery 485,12.53,67
Furniture,Nu-Dell Leatherette Frames,14.34,36
Office Supplies,Xerox 1979,30.98,37
Office Supplies,Xerox 1929,22.84,7
Furniture,BPI Conference Tables,146.05,11
Office Supplies,Xerox 194,55.48,1
Office Supplies,Newell 323,1.68,1
Technology,V70,205.99,13
Office Supplies,Boston 1730 StandUp Electric Pencil Sharpener,21.38,5
Office Supplies,Harmony HEPA Quiet Air Purifiers,11.7,8
Technology,"\"Imation 3.5\"\" IBM-Formatted Diskettes",5.98,-27.13
Office Supplies,Xerox 1992,5.98,1
Office Supplies,3M Office Air Cleaner,25.98,7
Office Supplies,"Dual Level, Single-Width Filing Carts",155.06,12
Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,59.98,11
Office Supplies,Avery 498,2.89,7
Office Supplies,Avery 52,3.69,15
Technology,V 3600 Series,65.99,3
Furniture,Eldon Image Series Black Desk Accessories,4.14,12
Office Supplies,Xerox 1880,35.44,4
Office Supplies,Xerox 194,55.48,9
Furniture,"\"6\"\" Cubicle Wall Clock",8.09,-171.2664
Furniture,Coloredge Poster Frame,14.2,11
Technology,SC-3160,65.99,29
Office Supplies,Newell 346,2.88,1
Office Supplies,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,225.04,1
Technology,StarTAC Series,65.99,3
Office Supplies,Avery 481,3.08,1
Office Supplies,Xerox 1966,6.48,15
Office Supplies,Hunt Boston� Vacuum Mount KS Pencil Sharpener,34.99,13
Technology,Canon P1-DHIII Palm Printing Calculator,17.98,2
Technology,StarTAC 3000,125.99,8
Technology,TimeportP7382,205.99,22
Office Supplies,"\"Recycled Desk Saver Line \"\"While You Were Out\"\" Book",8.95,85.8636
Technology,Canon PC940 Copier,449.99,5
Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,4.24,13
Office Supplies,Newell 338,2.94,18
Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,4.82,5
Furniture,Novimex High-Tech Fabric Mesh Task Chair,70.98,9
Office Supplies,Staples Copy Paper (20Lb. and 84 Bright),4.98,9
Technology,Polycom ViewStation� ISDN Videoconferencing Unit,6783.02,3
Technology,StarTAC 7760,65.99,7
Office Supplies,"\"Wirebound Message Books, Four 2 3/4\"\" x 5\"\" Forms per Page",9.27,71.434
Office Supplies,Xerox 1968,6.68,10
Office Supplies,Xerox 1978,5.78,11
Office Supplies,Newell 323,1.68,10
Office Supplies,SANFORD Major Accent� Highlighters,7.08,14
Office Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",28.15,4
Office Supplies,Iris Project Case,7.98,4
Technology,KF 788,45.99,8
Furniture,"\"6\"\" Cubicle Wall Clock",8.09,63.48448
Technology,Accessory29,20.99,9
Technology,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,99.99,6
Office Supplies,Acme� Forged Steel Scissors with Black Enamel Handles,9.31,9
Furniture,Global Deluxe Office Fabric Chairs,95.98,15
Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,39.48,13
Office Supplies,"Advantus Push Pins, Aluminum Head",5.81,18
Technology,Microsoft Multimedia Keyboard,30.97,3
Furniture,"\"Executive Impressions 12\"\" Wall Clock\"",17.67,20
Technology,Canon P1-DHIII Palm Printing Calculator,17.98,1
Office Supplies,Avery 506,4.13,22
Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,7.31,19
Technology,Accessory37,20.99,12
Technology,Verbatim DVD-R 4.7GB authoring disc,39.24,9
Office Supplies,Fellowes Command Center 5-outlet power strip,67.84,1
Office Supplies,"\"#10- 4 1/8\"\" x 9 1/2\"\" Security-Tint Envelopes\"",7.64,1
Office Supplies,GBC Binding covers,12.95,5
Technology,3390,65.99,10
Technology,Fellowes 17-key keypad for PS/2 interface,30.73,7
Technology,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,200.97,4
Office Supplies,12 Colored Short Pencils,2.6,6
Office Supplies,Pizazz� Global Quick File�,14.97,4
Furniture,SAFCO Arco Folding Chair,276.2,8
Technology,6160,115.99,6
Technology,"TDK 4.7GB DVD-R Spindle, 15/Pack",40.97,13
Furniture,Deflect-O� Glasstique� Clear Desk Accessories,7.7,17
Technology,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,3502.14,1
Office Supplies,Xerox 1903,5.98,17
Office Supplies,Avery 481,3.08,11
Furniture,Hon 61000 Series Interactive Training Tables,44.43,14
Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",130.98,6
Furniture,Artistic Insta-Plaque,15.68,2
Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",71.37,11
Office Supplies,Durable Pressboard Binders,3.8,20
Office Supplies,Newell 310,1.76,17
Office Supplies,"TOPS Voice Message Log Book, Flash Format",4.76,23
Office Supplies,Newell 312,5.84,11
Office Supplies,Storex Dura Pro� Binders,5.94,7
Technology,6190,65.99,6
Office Supplies,GBC DocuBind 300 Electric Binding Machine,525.98,15
Technology,5185,115.99,21
Office Supplies,"Hunt BOSTON� Vista� Battery-Operated Pencil Sharpener, Black",11.66,10
Office Supplies,Xerox 1930,6.48,8
Office Supplies,Newell 339,2.78,6
Office Supplies,"Hoover Replacement Belts For Soft Guard� & Commercial Ltweight Upright Vacs, 2/Pk",3.95,11
Furniture,DMI Arturo Collection Mission-style Design Wood Chair,150.98,5
Office Supplies,"Eldon Base for stackable storage shelf, platinum",38.94,10
Office Supplies,Avery� Durable Slant Ring Binders With Label Holder,4.18,16
Office Supplies,Newell 340,2.88,20
Furniture,"Global Leather Task Chair, Black",89.99,2
Furniture,O'Sullivan 5-Shelf Heavy-Duty Bookcases,81.94,28
Office Supplies,Staples Bulk Pack Metal Binder Clips,6.08,20
Office Supplies,Peel-Off� China Markers,9.93,4
Office Supplies,Xerox 191,19.98,5
Technology,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",22.24,15
Technology,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",29.89,22
Office Supplies,Xerox 193,5.98,3
Office Supplies,"Snap-A-Way� Black Print Carbonless Speed Message, No Reply Area, Duplicate",29.14,17
Office Supplies,"Dixon My First Ticonderoga Pencil, #2",5.85,3
Office Supplies,"Iris� 3-Drawer Stacking Bin, Black",20.89,20
Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,70.97,3
Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,59.98,16
Technology,3390,65.99,13
Furniture,Document Clip Frames,8.34,1
Technology,Canon MP100DHII Printing Calculator,140.99,5
Office Supplies,Avery 501,3.69,1
Technology,5165,175.99,4
Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",92.23,5
Technology,Accessory6,55.99,23
Technology,iDEN i550,205.99,13
Office Supplies,Multimedia Mailers,162.93,14
Office Supplies,"\"Black Print Carbonless Snap-Off� Rapid Letter, 8 1/2\"\" x 7\"\"\"",9.11,15
Office Supplies,"Dual Level, Single-Width Filing Carts",155.06,8
Furniture,Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,291.73,1
Furniture,Hon Valutask� Swivel Chairs,100.98,12
Office Supplies,Ibico Ibimaster 300 Manual Binding System,367.99,9
Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,4.24,5
Furniture,Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,291.73,4
Furniture,Hon Valutask� Swivel Chairs,100.98,43
Office Supplies,"Dual Level, Single-Width Filing Carts",155.06,32
Furniture,"Global High-Back Leather Tilter, Burgundy",122.99,49
Technology,iDEN i550,205.99,53
Office Supplies,Multimedia Mailers,162.93,57
Technology,2160i,200.99,44
Office Supplies,Ibico Ibimaster 300 Manual Binding System,367.99,34
Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,4.24,19
Office Supplies,"\"Black Print Carbonless Snap-Off� Rapid Letter, 8 1/2\"\" x 7\"\"\"",9.11,62
Technology,2160i,200.99,11
Furniture,"Global High-Back Leather Tilter, Burgundy",122.99,12
Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",6.88,18
Office Supplies,Xerox 1991,22.84,22
Office Supplies,Holmes HEPA Air Purifier,21.78,7
Technology,5180,65.99,6
Technology,Gyration RF Keyboard,159.99,5
Office Supplies,Xerox 227,6.48,10
Furniture,Telescoping Adjustable Floor Lamp,19.99,2
Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,180.98,7
Office Supplies,Barrel Sharpener,3.57,17
Office Supplies,"Companion Letter/Legal File, Black",37.76,15
Furniture,Bevis 36 x 72 Conference Tables,124.49,13
Furniture,"\"Tenex 46\"\" x 60\"\" Computer Anti-Static Chairmat",105.98,534.6603
Office Supplies,"24 Capacity Maxi Data Binder Racks, Pearl",210.55,1
Technology,Timeport L7089,125.99,7
Office Supplies,Lumber Crayons,9.85,13
Office Supplies,Prang Colored Pencils,2.94,5
Furniture,Hon 94000 Series Round Tables,296.18,6
Office Supplies,"\"Wirebound Message Books, Four 2 3/4\"\" x 5\"\" Forms per Page",9.27,18.73
Office Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.85,12
Furniture,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",9.38,17
Furniture,"\"6\"\" Cubicle Wall Clock",8.09,-144.56
Office Supplies,GBC DocuBind TL300 Electric Binding System,896.99,13
Office Supplies,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty� Dirt Cup,232.58,18
Office Supplies,Quality Park Security Envelopes,26.17,14
Office Supplies,Eldon Jumbo ProFile� Portable File Boxes Graphite/Black,15.31,2
Office Supplies,Avery 507,2.88,6
Furniture,Hon Deluxe Fabric Upholstered Stacking Chairs,243.98,5
Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98,12
Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,550.98,5
Office Supplies,GBC DocuBind 300 Electric Binding Machine,525.98,9
Office Supplies,Fellowes Super Stor/Drawer� Files,161.55,19
Office Supplies,Avery 493,4.91,9
Furniture,Hon 94000 Series Round Tables,296.18,9
Furniture,Flat Face Poster Frame,18.84,13
Technology,Fellowes 17-key keypad for PS/2 interface,30.73,14
Office Supplies,Belkin OmniView SE Rackmount Kit,35.48,10
Office Supplies,Prismacolor Color Pencil Set,19.84,9
Office Supplies,Array� Memo Cubes,5.18,10
Technology,2180,175.99,23
Technology,US Robotics 56K V.92 External Faxmodem,99.99,3
Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",30.98,13
Furniture,Eldon� Wave Desk Accessories,2.08,3
Office Supplies,"Decoflex Hanging Personal Folder File, Blue",15.42,21
Office Supplies,"\"REDIFORM Incoming/Outgoing Call Register, 11\"\" X 8 1/2\"\"",8.34,-190.68
Office Supplies,Xerox 1897,4.98,9
Office Supplies,"\"Acme� 8\"\" Straight Scissors\"",12.98,16
Office Supplies,Lumber Crayons,9.85,5
Technology,Accessory15,20.99,30
Office Supplies,"\"Staples #10 Laser & Inkjet Envelopes, 4 1/8\"\" x 9 1/2\"\"",9.78,4133.016
Office Supplies,GBC Plastic Binding Combs,7.38,20
Office Supplies,"\"\"\"While you Were Out\"\" Message Book",3.71,690.198
Furniture,"\"Iceberg OfficeWorks 42\"\" Round Tables\"",150.98,25
Technology,Bell Sonecor JB700 Caller ID,7.99,22
Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,160.98,37
Technology,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",17.98,146
Technology,636,115.99,8
Office Supplies,Xerox 210,6.48,17
Office Supplies,GBC VeloBinder Strips,7.68,48
Technology,Accessory27,35.99,33
Technology,Verbatim DVD-R 4.7GB authoring disc,39.24,44
Office Supplies,"TOPS Money Receipt Book, Consecutively Numbered in Red,",8.01,50
Office Supplies,Euro Pro Shark Stick Mini Vacuum,60.98,24
Technology,M3682,125.99,43
Technology,StarTAC 6500,125.99,44
Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",6.98,60
Technology,5185,115.99,86
Furniture,"\"Executive Impressions 12\"\" Wall Clock\"",17.67,100
Technology,Accessory27,35.99,8
Office Supplies,Euro Pro Shark Stick Mini Vacuum,60.98,6
Technology,M3682,125.99,11
Technology,StarTAC 6500,125.99,11
Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",6.98,14
Technology,Verbatim DVD-R 4.7GB authoring disc,39.24,11
Office Supplies,"TOPS Money Receipt Book, Consecutively Numbered in Red,",8.01,12
Technology,636,115.99,2
Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,160.98,9
Technology,5185,115.99,20
Office Supplies,GBC VeloBinder Strips,7.68,12
Technology,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",17.98,39
Furniture,"\"Executive Impressions 12\"\" Wall Clock\"",17.67,25
Office Supplies,Xerox 210,6.48,4
Office Supplies,OIC Bulk Pack Metal Binder Clips,3.49,12
Technology,Accessory6,55.99,5
Technology,Belkin 105-Key Black Keyboard,19.98,16
Technology,Panasonic KX-P1150 Dot Matrix Printer,145.45,13
Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",300.98,31
Technology,Belkin 105-Key Black Keyboard,19.98,65
Office Supplies,Avery Durable Binders,2.88,17
Office Supplies,Xerox 1880,35.44,37
Office Supplies,Portfile� Personal File Boxes,17.7,13
Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",9.78,31
Office Supplies,OIC Bulk Pack Metal Binder Clips,3.49,46
Office Supplies,Xerox 1996,6.48,29
Office Supplies,Xerox 1920,5.98,28
Office Supplies,"\"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4\"\"X8 1/2\"\"",5.68,37.5
Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",6.88,68
Technology,Micro Innovations 104 Keyboard,10.97,65
Technology,Panasonic KX-P1150 Dot Matrix Printer,145.45,53
Technology,Accessory6,55.99,18
Technology,5125,200.99,34
Office Supplies,Xerox 1880,35.44,9
Office Supplies,Portfile� Personal File Boxes,17.7,3
Technology,"Memorex Slim 80 Minute CD-R, 10/Pack",9.78,8
Office Supplies,Xerox 1920,5.98,7
Furniture,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",300.98,8
Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16� x 11�",6.88,17
Office Supplies,Avery Durable Binders,2.88,4
Office Supplies,Xerox 1996,6.48,7
Technology,5125,200.99,9
Technology,Micro Innovations 104 Keyboard,10.97,16
Office Supplies,"\"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4\"\"X8 1/2\"\"",5.68,22.5078
Office Supplies,"Dixon Prang� Watercolor Pencils, 10-Color Set with Brush",4.26,7
Office Supplies,Avery 493,4.91,12
Office Supplies,EcoTones� Memo Sheets,4,5
Office Supplies,Avery 479,2.61,19
Technology,Fuji Slim Jewel Case CD-R,2.12,12
Technology,StarTAC 7797,115.99,12
Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,550.98,1
Technology,Soundgear TeleForum DX Desktop Conference Phone,96.45,3
Office Supplies,Newell 35,3.28,13
Office Supplies,Newell 326,1.76,3
Office Supplies,"Dixon Prang� Watercolor Pencils, 10-Color Set with Brush",4.26,29
Office Supplies,Avery 493,4.91,47
Office Supplies,EcoTones� Memo Sheets,4,19
Technology,Fuji Slim Jewel Case CD-R,2.12,46
Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,550.98,3
Technology,StarTAC 7797,115.99,52
Office Supplies,Newell 326,1.76,11
Technology,Soundgear TeleForum DX Desktop Conference Phone,96.45,13
Office Supplies,Newell 35,3.28,52
Office Supplies,Avery 479,2.61,76
Office Supplies,Computer Printout Paper with Letter-Trim Perforations,18.97,23
Office Supplies,"Premier Elliptical Ring Binder, Black",30.44,15
Office Supplies,Xerox 1994,6.48,13
Technology,2160,115.99,4
Office Supplies,Xerox 1976,6.48,2
Office Supplies,Avery 51,6.3,10
Technology,6185,205.99,10
Office Supplies,Staples 4 Outlet Surge Protector,8.67,13
Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",140.98,11
Office Supplies,Avery 491,4.13,14
Technology,Imation DVD-RAM discs,35.41,14
Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",42.76,7
Technology,Belkin MediaBoard 104- Keyboard,27.48,1
Office Supplies,"Wilson Jones Hanging View Binder, White, 1\"\"",7.1,23
Technology,Hewlett-Packard 2600DN Business Color Inkjet Printer,119.99,8
Office Supplies,Acme� Office Executive Series Stainless Steel Trimmers,8.57,11
Office Supplies,"Snap-A-Way� Black Print Carbonless Ruled Speed Letter, Triplicate",37.94,13
Office Supplies,Xerox 1948,9.99,19
Office Supplies,"\"Avery� Durable Plastic 1\"\" Binders\"",4.54,2
Office Supplies,Zebra Zazzle Fluorescent Highlighters,6.08,3
Office Supplies,Newell 337,3.28,20
Office Supplies,Tuff Stuff� Recycled Round Ring Binders,4.82,3
Technology,2180,175.99,6
Office Supplies,Boston 16801 Nautilus� Battery Pencil Sharpener,22.01,23
Furniture,"Eldon Regeneration Recycled Desk Accessories, Smoke",1.74,5
Office Supplies,"\"#10-4 1/8\"\" x 9 1/2\"\" Premium Diagonal Seam Envelopes\"",15.74,14
Office Supplies,Fellowes Recycled Storage Drawers,111.03,43
Office Supplies,Avery 498,2.89,7
Technology,Accessory21,20.99,19
Technology,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,115.99,1
Office Supplies,Staples 4 Outlet Surge Protector,8.67,17
Furniture,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",10.64,14
Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,70.97,3
Office Supplies,"Snap-A-Way� Black Print Carbonless Ruled Speed Letter, Triplicate",37.94,32
Furniture,KI Conference Tables,70.89,6
Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,35.89,6
Technology,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",22.24,5
Technology,Lexmark 4227 Plus Dot Matrix Printer,2036.48,3
Office Supplies,Xerox 1939,18.97,5
Office Supplies,Fiskars� Softgrip Scissors,10.98,8
Office Supplies,Xerox 1977,6.68,8
Office Supplies,Newell 340,2.88,44
Office Supplies,"\"Acco Recycled 2\"\" Capacity Laser Printer Hanging Data Binders\"",14.45,9
Office Supplies,Fellowes Staxonsteel� Drawer Files,193.17,1
Technology,Accessory35,35.99,1
Office Supplies,Acme� Box Cutter Scissors,10.23,2
Office Supplies,"Peel & Seel� Recycled Catalog Envelopes, Brown",11.58,12
Office Supplies,Xerox 1964,22.84,13
Office Supplies,Newell 343,2.94,8
Office Supplies,Fiskars� Softgrip Scissors,10.98,6
Office Supplies,"\"Wirebound Message Books, 2 7/8\"\" x 5\"\"",7.04,2.4852
Furniture,Laminate Occasional Tables,154.13,3
Office Supplies,Avery 496,3.75,10
Office Supplies,"\"Adams Write n' Stick Phone Message Book, 11\"\" X 5 1/4\"\"",5.68,71.1504
Office Supplies,Prang Dustless Chalk Sticks,1.68,20
Furniture,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,4
Furniture,Global Ergonomic Managers Chair,180.98,5
Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,80.98,15
Office Supplies,Fellowes Bases and Tops For Staxonsteel�/High-Stak� Systems,33.29,12
Office Supplies,Staples� General Use 3-Ring Binders,1.88,17
Furniture,"Master Caster Door Stop, Large Neon Orange",7.28,13
Technology,Canon F603 Scientific Calculator,9.99,1
Office Supplies,Peel-Off� China Markers,9.93,6
Office Supplies,Bionaire Personal Warm Mist Humidifier/Vaporizer,46.89,3
Technology,PC Concepts 116 Key Quantum 3000 Keyboard,32.98,2
Office Supplies,Wausau Papers Astrobrights� Colored Envelopes,5.98,5
Office Supplies,"#10 White Business Envelopes,4 1/8 x 9 1/2",15.67,9
Furniture,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",30.93,7
Office Supplies,Xerox 191,19.98,3
Office Supplies,Newell 335,2.88,2
Furniture,Eldon Cleatmat Plus� Chair Mats for High Pile Carpets,79.52,8
Technology,StarTAC Analog,65.99,5
Technology,Microsoft Natural Keyboard Elite,39.98,21
Technology,T60,95.99,12
Technology,"Fellowes Mobile Numeric Keypad, Graphite",43.22,6
Technology,i470,205.99,6
Office Supplies,Strathmore Photo Mount Cards,6.78,13
Office Supplies,"\"Staples Wirebound Steno Books, 6\"\" x 9\"\"",10.14,30.738
Office Supplies,"Hunt BOSTON� Vista� Battery-Operated Pencil Sharpener, Black",11.66,16
Office Supplies,Acco� Hot Clips� Clips to Go,3.29,2
Office Supplies,Acme Galleria� Hot Forged Steel Scissors with Colored Handles,15.73,20
Office Supplies,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",34.76,5
Office Supplies,Smead Adjustable Mobile File Trolley with Lockable Top,419.19,10
Office Supplies,Xerox 191,19.98,23
Technology,T60,95.99,13
Office Supplies,Belkin 6 Outlet Metallic Surge Strip,10.89,3
Office Supplies,"GBC White Gloss Covers, Plain Front",14.48,6
Technology,Accessory31,35.99,7
Office Supplies,GBC DocuBind P100 Manual Binding Machine,165.98,6
Office Supplies,"TOPS Money Receipt Book, Consecutively Numbered in Red,",8.01,1
Office Supplies,Sanford Pocket Accent� Highlighters,1.6,10
Office Supplies,Crate-A-Files�,10.9,15
Office Supplies,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,21.98,24
Office Supplies,Avery 485,12.53,4
Office Supplies,"Dixon My First Ticonderoga Pencil, #2",5.85,19
Technology,Hewlett-Packard 4.7GB DVD+R Discs,8.5,10
Furniture,Document Clip Frames,8.34,10
Office Supplies,Xerox 1891,48.91,10
Office Supplies,GBC VeloBinder Electric Binding Machine,120.98,9
Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",92.23,6
Office Supplies,Newell 340,2.88,8
Furniture,Bevis Boat-Shaped Conference Table,262.11,24
Office Supplies,Newell 312,5.84,30
Technology,Talkabout T8097,205.99,4
Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",100.98,7
Office Supplies,Xerox 1952,4.98,9
Office Supplies,Xerox 1996,6.48,22
Office Supplies,Newell 342,3.28,7
Furniture,Bush Mission Pointe Library,150.98,8
Technology,Okidata ML320 Series Turbo Dot Matrix Printers,399.98,5
Office Supplies,Avery 504,2.88,17
Technology,8260,65.99,8
Technology,Accessory21,20.99,5
Office Supplies,Catalog Binders with Expanding Posts,67.28,9
Office Supplies,"SAFCO Mobile Desk Side File, Wire Frame",42.76,7
Office Supplies,Avery 493,4.91,18
Technology,"Fellowes Mobile Numeric Keypad, Graphite",43.22,3
Technology,Polycom ViaVideo� Desktop Video Communications Unit,574.74,12
Office Supplies,"\"Staples Wirebound Steno Books, 6\"\" x 9\"\"",10.14,24.924
Furniture,"Global Leather and Oak Executive Chair, Black",300.98,6
Technology,Logitech Cordless Access Keyboard,29.99,3
Office Supplies,Filing/Storage Totes and Swivel Casters,9.71,1
Office Supplies,Xerox 1893,40.99,4
Office Supplies,Staples� General Use 3-Ring Binders,1.88,1
Technology,"Imation 3.5 IBM Diskettes, 10/Box",8.46,14
Office Supplies,Xerox 1922,4.98,7
Office Supplies,Acme Kleencut� Forged Steel Scissors,5.74,9
Office Supplies,*Staples* Highlighting Markers,4.84,3
Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",100.98,5
Office Supplies,"Avery Flip-Chart Easel Binder, Black",22.38,7
Office Supplies,Xerox 23,6.48,1
Office Supplies,Acme� Elite Stainless Steel Scissors,8.34,4
Office Supplies,Space Solutions Commercial Steel Shelving,64.65,5
Office Supplies,GBC DocuBind P50 Personal Binding Machine,63.98,13
Office Supplies,GBC VeloBinder Strips,7.68,12
Technology,2160i,200.99,3
Office Supplies,"\"#10-4 1/8\"\" x 9 1/2\"\" Premium Diagonal Seam Envelopes\"",15.74,11
Furniture,"Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak",9.65,8
Office Supplies,Xerox 215,6.48,8
Office Supplies,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",60.22,21
